idx,train_avg_reward,train_step_count_max,lr,eval_reward_mean,eval_reward_sum,eval_step_count_max
99,-0.031140359118580818,998,0.00029280339404185135,-2.4522378225810826e-06,-0.002449785592034459,998
100,-0.03189195692539215,998,0.0002926584774442729,nan,nan,nan
101,-0.028932703658938408,998,0.0002925121528651156,nan,nan,nan
102,-0.032015103846788406,998,0.00029236442174854406,nan,nan,nan
103,-0.03025246039032936,998,0.00029221528555260464,nan,nan,nan
104,-0.030440060421824455,998,0.00029206474574921144,nan,nan,nan
105,-0.03165276348590851,998,0.0002919128038241316,nan,nan,nan
106,-0.029921870678663254,998,0.00029175946127697056,nan,nan,nan
107,-0.03165721893310547,998,0.0002916047196211573,nan,nan,nan
108,-0.03079926036298275,998,0.00029144858038392953,nan,nan,nan
109,-0.03052951768040657,998,0.0002912910451063184,nan,nan,nan
110,-0.03119032084941864,998,0.0002911321153431337,nan,nan,nan
111,-0.030745279043912888,998,0.0002909717926629478,nan,nan,nan
112,-0.03054061345756054,998,0.000290810078648081,nan,nan,nan
113,-0.03161091357469559,998,0.00029064697489458523,nan,nan,nan
114,-0.030703969299793243,998,0.0002904824830122288,nan,nan,nan
115,-0.029949530959129333,998,0.00029031660462448003,nan,nan,nan
116,-0.03263942152261734,998,0.0002901493413684917,nan,nan,nan
117,-0.03010249324142933,998,0.00028998069489508463,nan,nan,nan
118,-0.03144015371799469,998,0.0002898106668687315,nan,nan,nan
119,-0.031328003853559494,998,0.00028963925896754024,nan,nan,nan
120,-0.02988814003765583,998,0.0002894664728832376,nan,nan,nan
121,-0.031222721561789513,998,0.0002892923103211525,nan,nan,nan
122,-0.03028130531311035,998,0.0002891167730001991,nan,nan,nan
123,-0.03133104741573334,998,0.0002889398626528599,nan,nan,nan
124,-0.03191601485013962,998,0.0002887615810251686,nan,nan,nan
125,-0.030812714248895645,998,0.0002885819298766929,nan,nan,nan
126,-0.031440574675798416,998,0.0002884009109805171,nan,nan,nan
127,-0.032469332218170166,998,0.00028821852612322466,nan,nan,nan
128,-0.031092679128050804,998,0.00028803477710488045,nan,nan,nan
129,-0.032196294516325,998,0.0002878496657390131,nan,nan,nan
130,-0.031866393983364105,998,0.0002876631938525971,nan,nan,nan
131,-0.030877524986863136,998,0.0002874753632860346,nan,nan,nan
132,-0.03183910995721817,998,0.00028728617589313755,nan,nan,nan
133,-0.03212028741836548,998,0.0002870956335411091,nan,nan,nan
134,-0.02953389100730419,998,0.00028690373811052536,nan,nan,nan
135,-0.029780859127640724,998,0.00028671049149531675,nan,nan,nan
136,-0.03145906701683998,998,0.0002865158956027493,nan,nan,nan
137,-0.03021676279604435,998,0.000286319952353406,nan,nan,nan
138,-0.02941451035439968,998,0.00028612266368116746,nan,nan,nan
139,-0.030230622738599777,998,0.00028592403153319344,nan,nan,nan
140,-0.029001986607909203,998,0.0002857240578699029,nan,nan,nan
141,-0.030569005757570267,998,0.0002855227446649552,nan,nan,nan
142,-0.030151043087244034,998,0.00028532009390523037,nan,nan,nan
143,-0.031405072659254074,998,0.00028511610759080966,nan,nan,nan
144,-0.03016965463757515,998,0.00028491078773495564,nan,nan,nan
